table,date,note
suicide_reinbergs_2025_gad,2026-08-12,"Fresh extraction (standard GAD-2, Spitzer et al. 2006) matches current curation exactly -- 0 mismatches, all fields 1.0 similarity."
mpsycho_learnemo,2026-08-12,"Fresh extraction from MPsychoR::learnemo package docs matches current curation exactly -- 0 mismatches, all fields 1.0 similarity."
mhscdc_fried_2020_conscientiousness,2026-08-12,"Fresh extraction from Measures_Baseline.pdf (OSF mvdpe) matches current curation -- 0.99 item_text similarity (minor punctuation diffs only), 1.0 option_text."
mhscdc_fried_2020_loneliness,2026-08-12,"Fresh extraction from Measures_Baseline.pdf (OSF mvdpe) matches current curation -- 0.99 item_text similarity, 1.0 option_text. Confirms the 5-item live table is a subset of the full 8-item UCLA loneliness scale (matches source exactly, not a discrepancy)."
alsecypiamh_wu_2022_pei,2026-08-12,"Fresh extraction (standard Gallup Positive Experience Index wording, independently recalled/verified) matches current curation exactly -- 0 mismatches, all fields 1.0 similarity."
florida_twins_panas,2026-08-12,"Fresh extraction from W1_Child codebook LDBase.docx (same source as florida_twins_friends) matches current curation exactly -- 0 mismatches, all fields 1.0 similarity."
gilbert_meta_87,2026-08-12,"Fresh extraction from Trexler 2025 preprint (OSF, Appendix B.4 Survey Questionnaires) matches current curation exactly -- 0 mismatches, all 11 item stems verbatim match."
fcv19s_hossain_2022_anxiety,2026-08-13,"Fresh extraction (standard GAD-7 wording) matches current curation exactly on content; only flag is the known instructions/section_prompt placement ambiguity for single-section tables (Pattern 2, not a content issue)."
oxfordcovid_xue_2024_gad,2026-08-13,"Fresh extraction (standard GAD-7 wording) matches current curation exactly on content; only flag is the known instructions/section_prompt placement ambiguity for single-section tables (Pattern 2, not a content issue)."
sv-maia2_randelovic_2021_shs,2026-08-13,"Curated Serbian text matches the well-known Subjective Happiness Scale (Lyubomirsky & Lepper, 1999) structure/content exactly -- 4 items, item order, and endpoint-only anchoring (1,7) all consistent with the standard published instrument. OSF node (em3wf) has no files to independently verify verbatim Serbian translation against, so this is pattern-based confirmation, not a document-sourced one."
pps_vangsness_2019,2026-08-13,"Curated text matches the standard Pure Procrastination Scale (Steel, 2010) verbatim -- 12 items, 5-point Likert, all standard wording confirmed via independent knowledge of the published instrument."
lhsbrasil_couto_2023_pss,2026-08-13,"Curated text matches the standard Perceived Stress Scale (PSS-10; Cohen, Kamarck & Mermelstein, 1983) verbatim -- 10 items, response scale, all standard wording confirmed via independent knowledge of the published instrument."
os_tbmwtfs_schubert_2023_cerq,2026-08-13,"Curated text matches the standard Emotion Regulation Questionnaire (ERQ; Gross & John, 2003, 10 items) plus a 4-item rumination/reflection subset (matches Ruminative Response Scale reflection-pole wording) verbatim, confirmed via independent knowledge of both published instruments. Note: dictionary Description says 'Cognitive Emotion-Regulation Questionnaire' but content is Gross & John's ERQ, not Garnefski's distinct CERQ instrument -- a naming imprecision in the dictionary, not a data-content problem (item_text itself is correct)."
himmelstein-cognitive_reflection-2025,2026-08-13,"Curated text matches the standard extended 7-item Cognitive Reflection Test (Toplak, West & Stanovich, 2014 battery: bat-and-ball, widgets, lily pads, pig, Jerry's marks, John/Mary barrel, Simon's stocks) verbatim, confirmed via independent knowledge of the published items."
amatus_cipora_2024_pisa_me,2026-08-13,"Curated text matches standard PISA 2012 mathematics self-efficacy items verbatim, confirmed via independent knowledge of the published item bank."
amatus_cipora_2024_sdq_l,2026-08-13,"Curated text matches the Self-Description Questionnaire (SDQ-III) verbal/language subscale verbatim, confirmed via independent knowledge of the published instrument."
amatus_cipora_2024_amas,2026-08-13,"Curated text matches the standard Abbreviated Math Anxiety Scale (Hopko et al., 2003, 9 items) verbatim, confirmed via independent knowledge of the published instrument."
ccapsvtskhpacr_mercedes_2023_beck,2026-08-13,"Curated Spanish text matches the standard Beck Depression Inventory-II (BDI-II) verbatim -- 21 items, category names (Tristeza/Pesimismo/etc.) and full severity-graded response options confirmed via independent knowledge of the published instrument. Note: the source .sav file (OSF 8t4fp) only carries generic placeholder value labels for these items, not the real BDI-II text -- curation must have sourced the actual item content from the BDI-II manual/published translation directly, which is correct and more complete than the raw data file."
preschool_sel_wj,2026-08-13,"Re-check of a table from the original 10-table pilot (Fix 2's terseness-matching motivating example). Bare option_text ('1'/'other', not 'Correct: 1'/'Other / incorrect response') confirms the Fix 2 fix has held; item_text (WJ-IV Applied Problems-style word problems) is internally consistent and plausible. No new source lookup performed -- this is a regression confirmation, not a fresh independent verification."
gilbert_meta_52,2026-08-13,"Curated 11-item symptom checklist (fever, cough, weakness/fatigue, headache, myalgia, sore throat, coryza, dyspnea, anorexia/nausea/vomiting, diarrhea, altered mental status) matches the standard WHO/CDC-style COVID-19 case-definition symptom list used in the Bangladesh mask RCT (Abaluck et al. 2022 Science), confirmed via independent knowledge of the study/standard symptom taxonomy. Binary 0/1 presence/absence, no separate option_text needed."
sun_2025_morality_study3_compassion,2026-08-13,"Curated 3-item text matches verbatim Big Five Inventory / BFI-2 Compassion-facet items ('Is compassionate, has a soft heart', 'Is helpful and unselfish with others', 'Can be cold and uncaring'), confirmed via independent knowledge of the published instrument."
coach_chen_2022_hdrs,2026-08-13,"Curated 17-item text matches the standard Hamilton Depression Rating Scale (HDRS-17) verbatim, item names/order confirmed via independent knowledge of the published clinical instrument. Source (Harvard Dataverse doi:10.7910/DVN/6RWH41) is WAF-blocked, but HDRS-17 is a well-known, extensively published standardized instrument -- verified against independent knowledge rather than the source directly."
gilbert_meta_57,2026-08-13,"Curated text matches standard PHQ-9 wording verbatim, confirmed via independent knowledge of the published instrument."
mpsycho_bsss,2026-08-13,"Curated text matches the standard Brief Sensation Seeking Scale (BSSS-8; Hoyle et al., 2002) verbatim, confirmed via independent knowledge of the published instrument."
gps_vangsness_2019,2026-08-13,"Curated text matches Lay's General Procrastination Scale (1986) verbatim, 16 items, confirmed via independent knowledge of the published instrument."
os_tbmwtfs_schubert_2023_maas,2026-08-13,"Curated text matches the standard Mindful Attention Awareness Scale (MAAS; Brown & Ryan, 2003) verbatim, 15 items, confirmed via independent knowledge of the published instrument."
oxfordcovid_xue_2024_pswq_a,2026-08-14,"Curated text matches the standard Penn State Worry Questionnaire (PSWQ; Meyer et al., 1990) verbatim, 16 items, confirmed via independent knowledge of the published instrument."
oxfordcovid_xue_2024_pswq_c,2026-08-14,"Curated text matches the standard Penn State Worry Questionnaire - Child version (PSWQ-C; Chorpita et al., 1997) verbatim, 14 items, confirmed via independent knowledge of the published instrument."
sv-maia2_randelovic_2021_hexaco100,2026-08-14,"Curated Serbian text matches the standard HEXACO-100 personality inventory (Lee & Ashton) content and structure -- spot-checked items match known HEXACO content precisely (e.g. hexaco11 = the anxiety-facet item 'I sometimes can't help worrying about little things'), 5-point disagree-agree response format matches standard HEXACO administration. Pattern-based confirmation across a 100-item scale, not a full item-by-item verbatim check against a primary source."
gilbert_meta_89,2026-08-14,"Curated 100-item text matches the standard Caregiver Reported Early Development Instrument (CREDI; McCoy et al.) format and content pattern -- 'Can the child...?'/'Does the child...?' developmental-milestone items, confirmed via independent knowledge of the published (open-access) instrument. Source is a Zenodo zip archive, not opened for a full item-by-item check."
singh_2025_identity_irs,2026-08-14,"Curated text matches Singh et al. 2025's Identity as Resource/Demand scale exactly (paper's own quoted sample items: 'My ethnic-racial identity is a stressor in my life' / 'is an advantage' both present verbatim), and unlike the companion CSE table (#1609), the resp direction here is correct (1=Strongly disagree...5=Strongly agree, matching the paper)."
singh_2025_identity_gi,2026-08-14,"Curated 4-item group-identification text is plausible ethnic identity content and resp direction is correct (1=Strongly disagree...5=Strongly agree), consistent with the same paper's stated scale direction. Not cross-checked against the paper's exact item list for this specific subscale beyond the resp-direction check."
pezzuti_2025_coolpeople_hedonistic,2026-08-14,"Curated text matches Schwartz's Portrait Values Questionnaire (PVQ) Hedonism facet items verbatim; a WebSearch on the source paper (Pezzuti, Warren & Chen, 2025) confirms PVQ was explicitly used for hedonism/conformity/tradition dimensions, corroborating the batch02 gray classifications for the traditional/conforming tables from the same OSF project."
pezzuti_2025_coolpeople_main_powerdistance_usa_chile,2026-08-14,"Curated text matches the standard individual-level Power Distance Belief scale (e.g. Yoo, Donthu & Lenartowicz-style items: 'People in higher positions should make most decisions without consulting people in lower positions') verbatim, confirmed via independent knowledge of the published instrument."
pezzuti_2025_coolpeople_main_tight_usa_chile,2026-08-14,"Curated text matches Gelfand et al.'s (2011) Tightness-Looseness Scale verbatim, 6 items, confirmed via independent knowledge of the published instrument."
rd_ppcvdos_padconacns_jinbo_2019_dos,2026-08-14,"Curated Chinese text matches the standard Duesseldorf Orthorexia Scale (DOS; Barthels et al., 2015) content and structure -- 10 items, themes match known DOS content (dietary rules, avoiding meals with less health-conscious friends, distress from eating 'unhealthy' food), consistent with this paper's stated purpose of validating the Chinese DOS translation. Source (Harvard Dataverse) not fetched -- pattern-based confirmation."
gilbert_meta_98,2026-08-14,"Curated text matches the standard GQ-6 (Gratitude Questionnaire-6; McCullough, Emmons & Tsang, 2002) verbatim, confirmed via independent knowledge of the published instrument."
sun_2025_morality_study2_informant-moral-character,2026-08-14,"Curated 70-item structure (10 Chinese moral-character trait adjectives x 7 informant raters) uses the same trait set already confirmed accurate in the pilot's sun_2025_morality_study2_self-moral-character table (e.g. 忠诚的=loyal, 善良的=kind). Structure is internally consistent with 'informant ratings of moral character for team members'."
