"table","status","n_items_live","n_items_candidate","item_set_match","resp_set_match","uses_raw_resp","canonical_nulls","pct_item_text_missing","pct_option_text_missing","note"
"COACH_Chen_2022_ADL","PASS",14,14,TRUE,TRUE,FALSE,TRUE,0,0,""
"COACH_Chen_2022_CSQ","PASS",8,8,TRUE,TRUE,FALSE,TRUE,0,0,""
"COACH_Chen_2022_IADL","WARN",8,8,TRUE,TRUE,FALSE,TRUE,0,0,"6 item(s) have live resp values with no option_text row: ra_iadl_q1(4), ra_iadl_q3(4), ra_iadl_q5(3,4), ra_iadl_q6(4), ra_iadl_q7(4), ra_iadl_q8(3,4)"
"COACH_Chen_2022_MOS_SSS_C","PASS",19,19,TRUE,TRUE,FALSE,TRUE,0,0,""
"COACH_Chen_2022_WHOQOL_BREF","PASS",26,26,TRUE,TRUE,FALSE,TRUE,0,0,""
"promis1wave1_anger","PASS",56,56,TRUE,TRUE,FALSE,TRUE,0,0,""
"promis1wave1_anxiety","PASS",56,56,TRUE,TRUE,FALSE,TRUE,0,0,""
"promis1wave1_depression","PASS",56,56,TRUE,TRUE,FALSE,TRUE,0,0,""
"promis1wave1_fatigue","PASS",112,112,TRUE,TRUE,FALSE,TRUE,0,0,""
"promis1wave1_pain","PASS",168,168,TRUE,TRUE,FALSE,TRUE,0,0,""
"promis1wave1_physicalfunction","WARN",56,56,TRUE,TRUE,FALSE,TRUE,0,0,"row-count anomaly (possible item-code conflation or missingness skew), median=2497.5: PFC1, PFC2"
"promis1wave1_social","PASS",112,112,TRUE,TRUE,FALSE,TRUE,0,0,""
