"table","mapping_basis","text_source","source_ref","note","public_note","uploaded"
"promis1wave1_anger","data_labels","study_materials","doi:10.7910/DVN/0NGAKG (Appendix A - PROMIS Data Code Book, codebook.doc; Cella, David, Northwestern University; CC0 1.0)","Item text, section prompts and response options come from the study's own PROMIS Wave 1 data codebook (Appendix A), which ships with the Harvard Dataverse deposit under CC0 1.0. The codebook lists each item by the exact variable name the response table uses, followed by its item context, stem and numbered options, so the code->text and resp->option_text mapping is a direct read of the study's own labels. The .doc was converted to .docx and parsed with textutil; the deposit's own web download is guestbook-gated, so the file was supplied manually. Cross-checks: all 616 item codes across the seven tables resolve in the codebook; every table's items fall entirely inside the expected codebook section, at exactly 56 items per section; and validate_items.R reports item-set and resp-set matching live data exactly for all seven tables.","Anchor direction is not uniform across items: 3 of the 56 items print a descending run (e.g. 5 = Never ... 1 = Always) and the rest ascend. option_text carries the label the codebook gives for each level, so read option_text rather than assuming a direction for resp.","NA"
"promis1wave1_anxiety","data_labels","study_materials","doi:10.7910/DVN/0NGAKG (Appendix A - PROMIS Data Code Book, codebook.doc; Cella, David, Northwestern University; CC0 1.0)","Item text, section prompts and response options come from the study's own PROMIS Wave 1 data codebook (Appendix A), which ships with the Harvard Dataverse deposit under CC0 1.0. The codebook lists each item by the exact variable name the response table uses, followed by its item context, stem and numbered options, so the code->text and resp->option_text mapping is a direct read of the study's own labels. The .doc was converted to .docx and parsed with textutil; the deposit's own web download is guestbook-gated, so the file was supplied manually. Cross-checks: all 616 item codes across the seven tables resolve in the codebook; every table's items fall entirely inside the expected codebook section, at exactly 56 items per section; and validate_items.R reports item-set and resp-set matching live data exactly for all seven tables.","All 56 items print an ascending option run (1 = Never ... 5 = Always) exactly as option_text records.","NA"
"promis1wave1_depression","data_labels","study_materials","doi:10.7910/DVN/0NGAKG (Appendix A - PROMIS Data Code Book, codebook.doc; Cella, David, Northwestern University; CC0 1.0)","Item text, section prompts and response options come from the study's own PROMIS Wave 1 data codebook (Appendix A), which ships with the Harvard Dataverse deposit under CC0 1.0. The codebook lists each item by the exact variable name the response table uses, followed by its item context, stem and numbered options, so the code->text and resp->option_text mapping is a direct read of the study's own labels. The .doc was converted to .docx and parsed with textutil; the deposit's own web download is guestbook-gated, so the file was supplied manually. Cross-checks: all 616 item codes across the seven tables resolve in the codebook; every table's items fall entirely inside the expected codebook section, at exactly 56 items per section; and validate_items.R reports item-set and resp-set matching live data exactly for all seven tables.","All 56 items print an ascending option run (1 = Never ... 5 = Always) exactly as option_text records.","NA"
"promis1wave1_fatigue","data_labels","study_materials","doi:10.7910/DVN/0NGAKG (Appendix A - PROMIS Data Code Book, codebook.doc; Cella, David, Northwestern University; CC0 1.0)","Item text, section prompts and response options come from the study's own PROMIS Wave 1 data codebook (Appendix A), which ships with the Harvard Dataverse deposit under CC0 1.0. The codebook lists each item by the exact variable name the response table uses, followed by its item context, stem and numbered options, so the code->text and resp->option_text mapping is a direct read of the study's own labels. The .doc was converted to .docx and parsed with textutil; the deposit's own web download is guestbook-gated, so the file was supplied manually. Cross-checks: all 616 item codes across the seven tables resolve in the codebook; every table's items fall entirely inside the expected codebook section, at exactly 56 items per section; and validate_items.R reports item-set and resp-set matching live data exactly for all seven tables. Two codebook sections are represented here, Fatigue - Fatigue Experience and Fatigue - Fatigue Impact, carried as separate section_id values.","Anchor direction is not uniform across items: 17 of the 112 items print a descending run (e.g. 5 = Never ... 1 = Always) and the rest ascend. option_text carries the label the codebook gives for each level, so read option_text rather than assuming a direction for resp.","NA"
"promis1wave1_pain","data_labels","study_materials","doi:10.7910/DVN/0NGAKG (Appendix A - PROMIS Data Code Book, codebook.doc; Cella, David, Northwestern University; CC0 1.0)","Item text, section prompts and response options come from the study's own PROMIS Wave 1 data codebook (Appendix A), which ships with the Harvard Dataverse deposit under CC0 1.0. The codebook lists each item by the exact variable name the response table uses, followed by its item context, stem and numbered options, so the code->text and resp->option_text mapping is a direct read of the study's own labels. The .doc was converted to .docx and parsed with textutil; the deposit's own web download is guestbook-gated, so the file was supplied manually. Cross-checks: all 616 item codes across the seven tables resolve in the codebook; every table's items fall entirely inside the expected codebook section, at exactly 56 items per section; and validate_items.R reports item-set and resp-set matching live data exactly for all seven tables. Three codebook sections are represented here, Pain - Behavior, Pain - Interference and Pain - Quality, carried as separate section_id values. Some codebook option sets are 6 wide where live resp has only 5 levels. Which of two mechanisms applies was settled per item by the respondent count. Where there is no n deficit relative to sibling items, those respondents are present and the two bottom categories share live level 1, so option_text for level 1 joins both codebook labels with ' / ' (89 items: 'Had no pain / Never' and 'Not sure if I had this type of pain / Did not have this type of pain'; PAINBE 6-option median n=2503 and PAINQU 6-option median n=2642 against 2647/2546 for their 5-option siblings). Where there is a clear deficit, the extra category is absent from the live data and levels 1-5 map straight onto keys 1-5 (1 items). For PAININ21 the absent category is the escape option 'Does not apply to me' (n=1980 against a 2647 median for its 5-option siblings).","89 of the 168 items have a level 1 that covers two codebook categories at once, so its option_text joins both labels with ' / '. Anchor direction is not uniform across items: 2 of the 168 items print a descending run (e.g. 5 = Never ... 1 = Always) and the rest ascend. option_text carries the label the codebook gives for each level, so read option_text rather than assuming a direction for resp.","NA"
"promis1wave1_physicalfunction","data_labels","study_materials","doi:10.7910/DVN/0NGAKG (Appendix A - PROMIS Data Code Book, codebook.doc; Cella, David, Northwestern University; CC0 1.0)","Item text, section prompts and response options come from the study's own PROMIS Wave 1 data codebook (Appendix A), which ships with the Harvard Dataverse deposit under CC0 1.0. The codebook lists each item by the exact variable name the response table uses, followed by its item context, stem and numbered options, so the code->text and resp->option_text mapping is a direct read of the study's own labels. The .doc was converted to .docx and parsed with textutil; the deposit's own web download is guestbook-gated, so the file was supplied manually. Cross-checks: all 616 item codes across the seven tables resolve in the codebook; every table's items fall entirely inside the expected codebook section, at exactly 56 items per section; and validate_items.R reports item-set and resp-set matching live data exactly for all seven tables. All items sit in Physical Function - Part III. Anchor sets are mixed: 39 items use a 5-wide difficulty run, 12 are yes/no, and 5 are 6 wide. Some codebook option sets are 6 wide where live resp has only 5 levels. Which of two mechanisms applies was settled per item by the respondent count. Where there is no n deficit relative to sibling items, those respondents are present and the two bottom categories share live level 1, so option_text for level 1 joins both codebook labels with ' / ' (0 items: 'Had no pain / Never' and 'Not sure if I had this type of pain / Did not have this type of pain'; PAINBE 6-option median n=2503 and PAINQU 6-option median n=2642 against 2647/2546 for their 5-option siblings). Where there is a clear deficit, the extra category is absent from the live data and levels 1-5 map straight onto keys 1-5 (5 items). For PFC1-PFC5 the absent category is the top option 'Very easy': those five items run n=1069-2145 against a 2535 median for the other 51 items, and the deficit tracks item easiness (Spearman ~ -0.8; PFC1 'open a previously opened jar' has the largest deficit at n=1069 and the highest mean resp at 4.48), which is what dropping the easiest response produces and what a category collapse would not. Independent cross-check: item text extracted from the official PROMIS item-bank PDFs (promis_compiled.pdf) covers 26 of the 56 items here and agrees with the shipped text on 25. The exception is PFC43, where the codebook prints 'Are you able to do use your hands' against the instrument's 'Are you able to use your hands' -- a dittography in the codebook. The codebook wording is shipped verbatim rather than silently corrected, since it is the study's own document and what was administered cannot be confirmed from the deposit.","Anchor sets are mixed within the table: 39 items use a 5-level difficulty run, 12 are binary, and 5 run 1-5 over a 6-level codebook scale whose top option is absent from the data. Anchor direction is not uniform across items: 49 of the 56 items print a descending run (e.g. 5 = Never ... 1 = Always) and the rest ascend. option_text carries the label the codebook gives for each level, so read option_text rather than assuming a direction for resp.","NA"
"promis1wave1_social","data_labels","study_materials","doi:10.7910/DVN/0NGAKG (Appendix A - PROMIS Data Code Book, codebook.doc; Cella, David, Northwestern University; CC0 1.0)","Item text, section prompts and response options come from the study's own PROMIS Wave 1 data codebook (Appendix A), which ships with the Harvard Dataverse deposit under CC0 1.0. The codebook lists each item by the exact variable name the response table uses, followed by its item context, stem and numbered options, so the code->text and resp->option_text mapping is a direct read of the study's own labels. The .doc was converted to .docx and parsed with textutil; the deposit's own web download is guestbook-gated, so the file was supplied manually. Cross-checks: all 616 item codes across the seven tables resolve in the codebook; every table's items fall entirely inside the expected codebook section, at exactly 56 items per section; and validate_items.R reports item-set and resp-set matching live data exactly for all seven tables. Two codebook sections are represented here, Social Role - Performance and Social Role - Satisfaction, carried as separate section_id values. The codebook misprints one option key on 19 Social Role - Performance items, printing '3 = Sometimes3 = Often1 = Always' where the descending ladder requires 2 for 'Often'; 17 sibling items in the same document print '2 = Often' for the identical anchor set, and 2 is the only value missing from an otherwise contiguous 5..1 run, so the key was read as 2.","Anchor direction is not uniform across items: 48 of the 112 items print a descending run (e.g. 5 = Never ... 1 = Always) and the rest ascend. option_text carries the label the codebook gives for each level, so read option_text rather than assuming a direction for resp.","NA"
"COACH_Chen_2022_CSQ","data_labels","translated_substitute","doi:10.7910/DVN/6RWH41 (codebook.xlsx; raw.xlsx) -- The Chinese Older Adult Collaborations in Health (COACH) Study, Shulin Chen and Yeates Conwell; CC0 1.0","Item text and per-item option labels come from the deposit's own codebook (codebook.xlsx: Variable / Label / Value), which names each variable exactly as the response table names its items apart from case, and gives that item's own numbered value labels. All 8 items resolve. Administered language: the COACH trial ran in rural villages in Zhejiang, China, so respondents read Chinese. The deposit does not carry the administered wording -- codebook.xlsx holds no CJK characters beyond a font name (SimSun) and raw.xlsx holds none at all -- so this takes the recorded fallback: English in the base fields, the _translated columns empty, language=Chinese and text_source=translated_substitute. Rows are emitted only for levels the live data actually uses, so an option a respondent never chose has no row. The 8 items share one 5-level run keyed 1 = Strongly agree through 5 = Strongly disagree, so a higher resp means less satisfaction, not more. q2 has no level 5 anywhere in the data (39 option rows rather than 40). q3 is negatively worded ('Some things about my consultation with the doctor could have been better'), so it runs against the other seven.","resp runs 1 = Strongly agree to 5 = Strongly disagree, so higher means LESS satisfied. Item q3 is negatively worded and so points the opposite way to the other seven items.","NA"
"COACH_Chen_2022_ADL","data_labels","translated_substitute","doi:10.7910/DVN/6RWH41 (codebook.xlsx; raw.xlsx) -- The Chinese Older Adult Collaborations in Health (COACH) Study, Shulin Chen and Yeates Conwell; CC0 1.0","Item text and per-item option labels come from the deposit's own codebook (codebook.xlsx: Variable / Label / Value), which names each variable exactly as the response table names its items apart from case, and gives that item's own numbered value labels. All 14 items resolve. Administered language: the COACH trial ran in rural villages in Zhejiang, China, so respondents read Chinese. The deposit does not carry the administered wording -- codebook.xlsx holds no CJK characters beyond a font name (SimSun) and raw.xlsx holds none at all -- so this takes the recorded fallback: English in the base fields, the _translated columns empty, language=Chinese and text_source=translated_substitute. Rows are emitted only for levels the live data actually uses, so an option a respondent never chose has no row. All 14 items share one 4-level run keyed 1 = ""on one's own"" through 4 = ""can't finish"", so a higher resp means more impairment. This is the opposite direction to the IADL table in the same deposit, where higher means more independence.","resp runs 1 = on one's own to 4 = can't finish, so higher means MORE impairment -- the opposite direction to COACH_Chen_2022_IADL, where higher means more independence.","NA"
"COACH_Chen_2022_IADL","data_labels","translated_substitute","doi:10.7910/DVN/6RWH41 (codebook.xlsx; raw.xlsx) -- The Chinese Older Adult Collaborations in Health (COACH) Study, Shulin Chen and Yeates Conwell; CC0 1.0","Item text and per-item option labels come from the deposit's own codebook (codebook.xlsx: Variable / Label / Value), which names each variable exactly as the response table names its items apart from case, and gives that item's own numbered value labels. All 8 items resolve. Administered language: the COACH trial ran in rural villages in Zhejiang, China, so respondents read Chinese. The deposit does not carry the administered wording -- codebook.xlsx holds no CJK characters beyond a font name (SimSun) and raw.xlsx holds none at all -- so this takes the recorded fallback: English in the base fields, the _translated columns empty, language=Chinese and text_source=translated_substitute. Rows are emitted only for levels the live data actually uses, so an option a respondent never chose has no row. Lawton IADL scoring, so the option range differs by item: q5 and q8 run 0-2, q1/q3/q6/q7 run 0-3, and q2/q4 run 0-4. Higher means more independence, the opposite direction to the ADL table in the same deposit. 65 of the 54,653 live rows (0.119%) carry a level above the item's own codebook maximum -- q8 level 3 (26 rows) and level 4 (9), q5 level 3 (15) and level 4 (4), q1 level 4 (5), q3 level 4 (3), q7 level 4 (2), q6 level 4 (1). The codebook labels no such category for those items, so those levels get no row. The table-level resp set still matches live data because q2 and q4 legitimately reach 4. Separately, the codebook gives q6 (Ability to Use Telephone) the ADL anchor wording (""can't finish"" / ""need help to do"" / ""have some trouble to do"" / ""on one's own"") rather than Lawton's telephone anchors; it ships as the codebook gives it.","Option range differs by item under Lawton scoring: q5 and q8 run 0-2, q1/q3/q6/q7 run 0-3, q2/q4 run 0-4. Higher means MORE independence -- the opposite direction to COACH_Chen_2022_ADL. 65 rows (0.12%) hold a level above their item's documented maximum and have no label.","NA"
