"table","section_id","item","instrument","instructions","section_prompt","item_text","correct_response","option_text","resp","item_text_translated","language"
"NAMPRB_Siwiak_2024_SSUB","NAMPRB_Siwiak_2024_SSUB_2","SSUB_NAB_1","Survey of Scientifically Unaccepted Beliefs, Polish version (SSUB-PL; Siwiak, Buczel, Rabińska & Szpitalak 2024)",NA,"Factor 2: Traditional Religious Beliefs","Diabeł (Szatan) jest realnym bytem.",NA,"Strongly disagree",1,"The Devil (Satan) is a real entity.","Polish"
"NAMPRB_Siwiak_2024_SSUB","NAMPRB_Siwiak_2024_SSUB_2","SSUB_NAB_1","Survey of Scientifically Unaccepted Beliefs, Polish version (SSUB-PL; Siwiak, Buczel, Rabińska & Szpitalak 2024)",NA,"Factor 2: Traditional Religious Beliefs","Diabeł (Szatan) jest realnym bytem.",NA,"Disagree",2,"The Devil (Satan) is a real entity.","Polish"
"NAMPRB_Siwiak_2024_SSUB","NAMPRB_Siwiak_2024_SSUB_2","SSUB_NAB_1","Survey of Scientifically Unaccepted Beliefs, Polish version (SSUB-PL; Siwiak, Buczel, Rabińska & Szpitalak 2024)",NA,"Factor 2: Traditional Religious Beliefs","Diabeł (Szatan) jest realnym bytem.",NA,"Neither Agree nor Disagree",3,"The Devil (Satan) is a real entity.","Polish"
"NAMPRB_Siwiak_2024_SSUB","NAMPRB_Siwiak_2024_SSUB_2","SSUB_NAB_1","Survey of Scientifically Unaccepted Beliefs, Polish version (SSUB-PL; Siwiak, Buczel, Rabińska & Szpitalak 2024)",NA,"Factor 2: Traditional Religious Beliefs","Diabeł (Szatan) jest realnym bytem.",NA,"Agree",4,"The Devil (Satan) is a real entity.","Polish"
"NAMPRB_Siwiak_2024_SSUB","NAMPRB_Siwiak_2024_SSUB_2","SSUB_NAB_1","Survey of Scientifically Unaccepted Beliefs, Polish version (SSUB-PL; Siwiak, Buczel, Rabińska & Szpitalak 2024)",NA,"Factor 2: Traditional Religious Beliefs","Diabeł (Szatan) jest realnym bytem.",NA,"Strongly Agree",5,"The Devil (Satan) is a real entity.","Polish"
"NAMPRB_Siwiak_2024_SSUB","NAMPRB_Siwiak_2024_SSUB_1","SSUB_NAB_2","Survey of Scientifically Unaccepted Beliefs, Polish version (SSUB-PL; Siwiak, Buczel, Rabińska & Szpitalak 2024)",NA,"Factor 1: New Age Beliefs","Niektórzy ludzie uważający się za medium rozwiązywali niewyjaśnione przypadki morderstw metodami paranormalnymi.",NA,"Strongly disagree",1,"Some psychics have solved baffling murder cases by paranormal means.","Polish"
"NAMPRB_Siwiak_2024_SSUB","NAMPRB_Siwiak_2024_SSUB_1","SSUB_NAB_2","Survey of Scientifically Unaccepted Beliefs, Polish version (SSUB-PL; Siwiak, Buczel, Rabińska & Szpitalak 2024)",NA,"Factor 1: New Age Beliefs","Niektórzy ludzie uważający się za medium rozwiązywali niewyjaśnione przypadki morderstw metodami paranormalnymi.",NA,"Disagree",2,"Some psychics have solved baffling murder cases by paranormal means.","Polish"
"NAMPRB_Siwiak_2024_SSUB","NAMPRB_Siwiak_2024_SSUB_1","SSUB_NAB_2","Survey of Scientifically Unaccepted Beliefs, Polish version (SSUB-PL; Siwiak, Buczel, Rabińska & Szpitalak 2024)",NA,"Factor 1: New Age Beliefs","Niektórzy ludzie uważający się za medium rozwiązywali niewyjaśnione przypadki morderstw metodami paranormalnymi.",NA,"Neither Agree nor Disagree",3,"Some psychics have solved baffling murder cases by paranormal means.","Polish"
"NAMPRB_Siwiak_2024_SSUB","NAMPRB_Siwiak_2024_SSUB_1","SSUB_NAB_2","Survey of Scientifically Unaccepted Beliefs, Polish version (SSUB-PL; Siwiak, Buczel, Rabińska & Szpitalak 2024)",NA,"Factor 1: New Age Beliefs","Niektórzy ludzie uważający się za medium rozwiązywali niewyjaśnione przypadki morderstw metodami paranormalnymi.",NA,"Agree",4,"Some psychics have solved baffling murder cases by paranormal means.","Polish"
"NAMPRB_Siwiak_2024_SSUB","NAMPRB_Siwiak_2024_SSUB_1","SSUB_NAB_2","Survey of Scientifically Unaccepted Beliefs, Polish version (SSUB-PL; Siwiak, Buczel, Rabińska & Szpitalak 2024)",NA,"Factor 1: New Age Beliefs","Niektórzy ludzie uważający się za medium rozwiązywali niewyjaśnione przypadki morderstw metodami paranormalnymi.",NA,"Strongly Agree",5,"Some psychics have solved baffling murder cases by paranormal means.","Polish"
