"table","note"
"chen_2022_sasc","Table name is misleading: the 22 SASC* items are the Smartphone Addiction Scale for College Students (SAS-C; Su et al. 2014, problematic smartphone use), not the Social Anxiety Scale for Children. Confirmed from the source .sav's variable labels (all smartphone-use content) and its 'Total score of SAS-C' summary variable. Dictionary Description ('SASC item-response data from a COVID-19 mental health survey of Chinese college students') should be updated to name the instrument. Item text shipped is the depositors' English labels; the survey was administered in Chinese and no Chinese wording is published. Tooling note: irw::irw_fetch('chen_2022_sasc') failed with 'table does not exist in IRW' on 6 of 7 attempts during this round (1.7M rows, 12 concurrent agents), so validate_items.R could not be made to pass on its own; the same item/resp gate was met via the one successful table_context.R fetch (22 items SASC01-SASC22, resp 1-5) and a direct Redivis query of datapages.item_response_warehouse_2.chen_2022_sasc (22 items, resp 1-5, 1,698,642 rows = 77,211 x 22)."
"close_relationships","validate_items.R could not be re-run: Redivis returned [400 invalid_request] export quota exceeded (204GB/200GB in 30 days) for every irw_fetch during this round. The item/resp sets were confirmed against this session's earlier successful table_context.R fetch (36 items 1-36; resp 1-5), which the shipped CSV matches exactly. Re-run validate_items.R once the quota resets before uploading."
"condon_2024_sapa_personality","Clean extraction, but irw::irw_fetch('condon_2024_sapa_personality') fails on this table -- at 68,188,858 rows to_tibble() cannot materialise it and the error surfaces as 'table does not exist in IRW' even though irw_list_tables() lists it. validate_items.R is therefore unusable here; the equivalent item-set and resp-set checks were run directly against datapages.item_response_warehouse_3 and pass. Worth a fix or a documented row-count guard in the irw package."
"criticalperiod_syntax","Text recovered from the Hartshorne, Tenenbaum & Pinker (2018) Cognition SI (Elsevier mmc1.pdf), 'Materials' pp.45-57 and 'Scoring' pp.58-60. The quiz administered 132 items (8 sentence-picture matching + 124 grammaticality judgments across Questions 9-35); the live table holds only the 95 'critical' dialect-invariant items, because data/criticalperiod_syntax.R reads full.csv, which is HTP's already-scored data_for_analysis.csv - the 37 dialect-varying items were dropped upstream by the study's own processing.R. Original question/option numbering is preserved (q4, q8, q9_2, q10_1, q10_3, ... are simply absent), so no renumbering was needed and nothing was padded to reach 95. Chen & Hartshorne (2021) describe the quiz as '135 grammaticality judgments, 95 of which were dialect-invariant'; HTP 2018 says 132 items - the 132/135 discrepancy is between the two papers and does not affect the 95 shipped here. resp is scored accuracy (0/1) against the SI answer key, not the option the respondent chose, so option_text is blank for both levels and correct_response is 1 for every item. The six picture items (q1,q2,q3,q5,q6,q7) get the sentence as item_text; the picture pair itself is not reproducible as text. q33_5 is transcribed exactly as printed, 'Sally swam two miles. Wore a pair of 100 goggles.' - the missing '$' is in the source PDF, confirmed against the page image. The block instruction 'Fill in the blank (Choose all that apply)' was prefixed to each Q11-Q31 stem in section_prompt with ': ' because it is section-scoped rather than table-wide; instructions is left blank for that reason. Note irw::irw_fetch() on this table pulls 107,483,095 rows and times out intermittently - the item/resp gate was also confirmed directly against Redivis."
"depression_anxiety_stress","Table name signals the DASS only, but the live 68 items pool three instruments from the same openpsychometrics release: items 1-42 = DASS-42 (Q1A-Q42A, 1-4), 43-52 = Ten Item Personality Inventory (TIPI1-10, 1-7), 53-68 = a 16-word vocabulary checklist (VCL1-16, 0/1). Extraction is against the real pooled content, not the name. Item codes are bare integers generated by row_number() in data/depression_anxiety_stress.R, so they carry no content; mapping was rebuilt by re-running that derivation over the raw data.csv header and confirmed cell-for-cell against the live data (68 x 9 = 612 item x resp-level cell counts, 0 mismatches)."
"emidy2024_fevs","validate_items.R could not run as a live gate: emidy2024_fevs has not yet been uploaded to Redivis (761MB, tracked as an open item in automated_finding/TODO.md), so irw_fetch() returns ""table does not exist in IRW"" and both the item-set and resp-set checks report FAIL for that reason alone. Substitute gate run against the exact source the processing script reads: re-applying data/emidy2024_fevs.py's own filter (Stata value-label set in {fscale,rscale,gscale,sscale,ascale}) to FEVS2022_Clean_2-22-23.dta yields exactly the 93 columns q1-q14, q16-q89, q94, q96-q99 shipped here, and after the script's 1-5 range filter every one of the 93 items uses all five levels, union exactly {1,2,3,4,5}. Re-run validate_items.R once the table is live."
"emidy2024_fevs","AUDIT WARN EXPLAINED (orchestrator, 2026-08-18): row-count anomaly on q82/q83/q84 is applicability-driven missingness, not code conflation -- FEVS routes several items to subsets of respondents (supervisory status and similar), so those three carry fewer rows than the 530,983 median while using the full resp range."
"ftna_kasper_2022","validate_items.R could not be executed: irw::irw_fetch('ftna_kasper_2022') exports all 8,862,532 rows and Redivis returned '[400 invalid_request] Cannot export more than 200GB within a 30 day period' (204GB already used). The two set checks it performs were instead run as aggregate SQL against the identical live table and both match exactly: distinct item = the 11 shipped codes (biology_num, chemistry_num, civics_num, english_num, geography_num, history_num, kiswahili_num, math_num, physics_num, science_num, society_num), and distinct resp = {0,1,2,3,4}, with all 5 levels present for every one of the 11 items (633,038 respondents per item-wave cell, no gaps). Re-run validate_items.R once the export quota resets to close this formally. audit_batch.R is blocked by the same export quota for the same reason; per-item resp coverage was checked by query instead (all 5 levels present for all 11 items)."
"ftna_kasper_2022","AUDIT WARN EXPLAINED (orchestrator, 2026-08-18): row-count anomaly on english_num/kiswahili_num/math_num is expected and already disclosed in the public_note -- those three subject codes appear in BOTH waves (wave 0 primary-school PSLE, wave 1 secondary-school FTNA), so they carry roughly twice the 633,038 median. Not conflation of two different questions under one code in the defect sense, but users must read wave alongside item."
"geography","Non-questionnaire table: each item is a geographical place the learner was asked to locate on / name from an outline map, so item_text is the place name from the archive's own place.csv id->name lookup, annotated with its place_type.csv type in parentheses (46 names, e.g. 'Georgia', are non-unique across types). No verbatim participant instructions are published, so instructions/section_prompt are blank. The task printed no fixed response options (options were sampled per trial); resp 0/1 is the correctness score computed by data/geography.R, so option_text describes the score rather than transcribing an option. validate_items.R could not be re-run at write time (Redivis 30-day export quota exceeded: 204GB/200GB); item and resp sets were checked against the irw_fetch ground truth captured earlier in the same session by table_context.R and match exactly (1458/1458 items, resp {0,1})."
