doi,date
10.7717/peerj.19304,2026-08-12
10.7717/peerj.16295,2026-08-12
10.7717/peerj.12047,2026-08-12
10.7717/peerj.21309,2026-08-12
10.7717/peerj.20567,2026-08-12
10.7717/peerj.19382,2026-08-12
10.7717/peerj.19326,2026-08-12
10.7717/peerj.18709,2026-08-12
10.7717/peerj.17090,2026-08-12
10.7717/peerj.19467,2026-08-12
10.7717/peerj.19426,2026-08-12
10.7717/peerj.18828,2026-08-12
10.7717/peerj.17910,2026-08-12
10.7717/peerj.18167,2026-08-12
10.7717/peerj.18378,2026-08-12
10.7717/peerj.19138,2026-08-12
10.7717/peerj.17982,2026-08-12
10.7717/peerj.16617,2026-08-12
10.7717/peerj.18257,2026-08-12
10.7717/peerj.17440,2026-08-12
10.7717/peerj.17711,2026-08-12
10.7717/peerj.16864,2026-08-12
10.7717/peerj.17308,2026-08-12
10.7717/peerj.16035,2026-08-12
10.7717/peerj.13162,2026-08-12
10.7717/peerj.14128,2026-08-12
10.7717/peerj.12591,2026-08-12
10.7717/peerj.9620,2026-08-12
10.7717/peerj.12803,2026-08-12
10.7717/peerj.10904,2026-08-12
10.7717/peerj.12432,2026-08-12
10.7717/peerj.6726,2026-08-12
10.7717/peerj.7253,2026-08-12
10.7717/peerj.8120,2026-08-12
10.7717/peerj.3034,2026-08-12
10.7717/peerj.4903,2026-08-12
10.7717/peerj.6647,2026-08-12
10.7717/peerj.6106,2026-08-12
10.7717/peerj.738,2026-08-12
10.7717/peerj.1826,2026-08-12
10.7717/peerj.5451,2026-08-12
10.7717/peerj.2868,2026-08-12
10.7717/peerj.4484,2026-08-12
10.7717/peerj.2421,2026-08-12
10.7717/peerj.3801,2026-08-12
10.7717/peerj.4092,2026-08-12
10.7717/peerj.4305,2026-08-12
10.7717/peerj.6235,2026-08-12
10.7717/peerj.3150,2026-08-12
10.7717/peerj.2785,2026-08-12
10.7717/peerj.1464,2026-08-12
10.7717/peerj.3276,2026-08-12
10.7717/peerj.2197,2026-08-12
10.7717/peerj.2360,2026-08-12
10.1038/s41598-026-46302-6,2026-08-12
10.1038/s41598-025-26801-8,2026-08-12
10.1038/s41598-026-39641-x,2026-08-12
10.1038/s41598-026-37238-y,2026-08-12
10.1038/s41598-025-10986-z,2026-08-12
10.1038/s41598-025-02706-4,2026-08-12
