"table","section_id","item","instrument","instructions","section_prompt","item_text","correct_response","option_text","raw_resp"
"alasmari_2025_ai_trust_confidence","alasmari_2025_ai_trust_confidence_1","item_simple_decisions","AI Trust and Confidence Survey (Part 3: Perception of AI in Cognitive Tasks)",NA,NA,"How confident are you in AI's ability to make simple decisions (e.g., recommending movies, suggesting products)?",NA,"Very confident","Very confident"
"alasmari_2025_ai_trust_confidence","alasmari_2025_ai_trust_confidence_1","item_simple_decisions","AI Trust and Confidence Survey (Part 3: Perception of AI in Cognitive Tasks)",NA,NA,"How confident are you in AI's ability to make simple decisions (e.g., recommending movies, suggesting products)?",NA,"Somewhat confident","Somewhat confident"
"alasmari_2025_ai_trust_confidence","alasmari_2025_ai_trust_confidence_1","item_simple_decisions","AI Trust and Confidence Survey (Part 3: Perception of AI in Cognitive Tasks)",NA,NA,"How confident are you in AI's ability to make simple decisions (e.g., recommending movies, suggesting products)?",NA,"Neutral","Neutral"
"alasmari_2025_ai_trust_confidence","alasmari_2025_ai_trust_confidence_1","item_simple_decisions","AI Trust and Confidence Survey (Part 3: Perception of AI in Cognitive Tasks)",NA,NA,"How confident are you in AI's ability to make simple decisions (e.g., recommending movies, suggesting products)?",NA,"Not confident","Not confident"
"alasmari_2025_ai_trust_confidence","alasmari_2025_ai_trust_confidence_2","item_complex_decisions","AI Trust and Confidence Survey (Part 3: Perception of AI in Cognitive Tasks)",NA,NA,"How confident are you in AI's ability to perform complex decision-making (e.g., making medical diagnoses, legal judgments)?",NA,"Very confident","Very confident"
"alasmari_2025_ai_trust_confidence","alasmari_2025_ai_trust_confidence_2","item_complex_decisions","AI Trust and Confidence Survey (Part 3: Perception of AI in Cognitive Tasks)",NA,NA,"How confident are you in AI's ability to perform complex decision-making (e.g., making medical diagnoses, legal judgments)?",NA,"Somewhat confident","Somewhat confident"
"alasmari_2025_ai_trust_confidence","alasmari_2025_ai_trust_confidence_2","item_complex_decisions","AI Trust and Confidence Survey (Part 3: Perception of AI in Cognitive Tasks)",NA,NA,"How confident are you in AI's ability to perform complex decision-making (e.g., making medical diagnoses, legal judgments)?",NA,"Neutral","Neutral"
"alasmari_2025_ai_trust_confidence","alasmari_2025_ai_trust_confidence_2","item_complex_decisions","AI Trust and Confidence Survey (Part 3: Perception of AI in Cognitive Tasks)",NA,NA,"How confident are you in AI's ability to perform complex decision-making (e.g., making medical diagnoses, legal judgments)?",NA,"Not confident","Not confident"
"alasmari_2025_ai_trust_confidence","alasmari_2025_ai_trust_confidence_3","item_memory_recall","AI Trust and Confidence Survey (Part 3: Perception of AI in Cognitive Tasks)",NA,NA,"How confident are you in AI's ability to perform memory recall tasks (e.g., remembering passwords, recalling historical facts)?",NA,"Very confident","Very confident"
"alasmari_2025_ai_trust_confidence","alasmari_2025_ai_trust_confidence_3","item_memory_recall","AI Trust and Confidence Survey (Part 3: Perception of AI in Cognitive Tasks)",NA,NA,"How confident are you in AI's ability to perform memory recall tasks (e.g., remembering passwords, recalling historical facts)?",NA,"Somewhat confident","Somewhat confident"
"alasmari_2025_ai_trust_confidence","alasmari_2025_ai_trust_confidence_3","item_memory_recall","AI Trust and Confidence Survey (Part 3: Perception of AI in Cognitive Tasks)",NA,NA,"How confident are you in AI's ability to perform memory recall tasks (e.g., remembering passwords, recalling historical facts)?",NA,"Neutral","Neutral"
"alasmari_2025_ai_trust_confidence","alasmari_2025_ai_trust_confidence_3","item_memory_recall","AI Trust and Confidence Survey (Part 3: Perception of AI in Cognitive Tasks)",NA,NA,"How confident are you in AI's ability to perform memory recall tasks (e.g., remembering passwords, recalling historical facts)?",NA,"Not confident","Not confident"
"alasmari_2025_ai_trust_confidence","alasmari_2025_ai_trust_confidence_4","item_math_problem_solving","AI Trust and Confidence Survey (Part 3: Perception of AI in Cognitive Tasks)",NA,NA,"How confident are you in AI's ability to solve complex problems (e.g., solving mathematical equations, optimizing logistical routes)?",NA,"Very confident","Very confident"
"alasmari_2025_ai_trust_confidence","alasmari_2025_ai_trust_confidence_4","item_math_problem_solving","AI Trust and Confidence Survey (Part 3: Perception of AI in Cognitive Tasks)",NA,NA,"How confident are you in AI's ability to solve complex problems (e.g., solving mathematical equations, optimizing logistical routes)?",NA,"Somewhat confident","Somewhat confident"
"alasmari_2025_ai_trust_confidence","alasmari_2025_ai_trust_confidence_4","item_math_problem_solving","AI Trust and Confidence Survey (Part 3: Perception of AI in Cognitive Tasks)",NA,NA,"How confident are you in AI's ability to solve complex problems (e.g., solving mathematical equations, optimizing logistical routes)?",NA,"Neutral","Neutral"
"alasmari_2025_ai_trust_confidence","alasmari_2025_ai_trust_confidence_4","item_math_problem_solving","AI Trust and Confidence Survey (Part 3: Perception of AI in Cognitive Tasks)",NA,NA,"How confident are you in AI's ability to solve complex problems (e.g., solving mathematical equations, optimizing logistical routes)?",NA,"Not confident","Not confident"
