"table","mapping_basis","text_source","source_ref","note","public_note","uploaded"
"ahmed_2019_wellbeing","paper_explicit","study_materials","10.1371/journal.pone.0215488","4-item ONS4-style wellbeing scale; item wording and the 4-point labels given directly in the paper's Methods. Source applies one label set (""not at all"" ... ""very satisfied"") identically to all four dimensions including happiness/anxiety/worthwhileness, where ""satisfied"" fits poorly -- transcribed verbatim as disclosed rather than corrected.","",""
"ajaykumar_2023_nasa_tlx","paper_explicit","canonical_instrument","","Paper's S2 File explicitly ties the six live columns to the six NASA-TLX subscales, but never reproduces participant-facing wording. item_text reconstructed from the official NASA-TLX Appendix A rating-scale definitions (the source the paper cites).","Item text comes from the official NASA-TLX source document rather than the study's own materials; per the paper all six items use ""very low""/""very high"" anchors, departing from the standard Good/Poor anchor normally used for the Performance subscale",""
"alasmari_2025_ai_trust_compare","paper_explicit","study_materials","10.1371/journal.pone.0331003","Q9-Q13 wording verbatim from the paper (""Part 4: Scenarios for AI vs. Human Cognitive Abilities""). resp coding independently confirmed against the S1 survey xlsx: per-item non-""Unsure"" category counts match live per-item resp counts exactly, confirming ""Unsure"" rows are excluded and the ascending order is human-more(1) / equal(2) / AI-more(3).","",""
"alasmari_2025_ai_trust_confidence","paper_explicit","study_materials","10.1371/journal.pone.0331003","Item text from the paper's Methods; 4-point labels confirmed in both the paper and the S1 raw-data xlsx. The numeric coding direction for ""Not confident/Neutral/Somewhat confident/Very confident"" is never disclosed, so raw_resp (literal labels) was used rather than assuming an ascending mapping onto resp.","",""
"albeitawi_2025_preceptor_needs","data_labels","study_materials","10.1371/journal.pone.0337101","Verbatim instructions and all 7 item labels from the study's own S1 Microsoft Forms questionnaire (.docx, recovered via zipfile/XML extraction), matching live item codes exactly. Paper states the 4-point priority scale in ascending order, matching resp 1-4. Row counts even (400/item).","",""
"alcoholhealthwarninglabel_brennan_2022_awareness_harms_followup","paper_explicit","study_materials","10.1371/journal.pone.0276189","Item wording and the dichotomization rule both stated explicitly in the paper's Measures section. openICPSR data page was bot-walled (403), so worked from the linked paper. Row counts even (1087/item).","Live resp (0/1) is a derived binary, not the original response scale -- the study collapsed a 7-point agree/disagree item into aware/not-aware, so option_text documents that rule rather than a literal option label",""
"alcoholhealthwarninglabel_brennan_2022_emotional_arousal_followup","paper_explicit","study_materials","10.1371/journal.pone.0276189","6 emotional-arousal items (afraid, disgusted, excited, pleased, uncomfortable, worried) on a 7-point scale (1=not at all, 4=moderately, 7=very) taken directly from the paper. Clean match, no caveats.","",""
"alcoholstroop_jones2024","paper_explicit","study_materials","","28 items = 14 alcohol + 14 matched neutral words; instructions and colour-key text from the paper. OSF materials checked but contain only paper text/raw data, no task script.","resp is trial accuracy (0/1); the correct/incorrect coding was inferred from the paper's stated procedure plus the live distribution (95.4% ones), and no per-word correct_response key exists because ink colour was randomised per trial",""
"alexander_2017_dsi","reconstructed","canonical_instrument","","Live data is not the full DSI-R: the paper's own PeerJ supplementary raw-data codebook (via Europe PMC supplementaryFiles zip) lists exactly DSI_1..DSI_23, corresponding to the Emotional Reactivity (11) + Emotional Cutoff (12) subscales only. Full 43-item verbatim text and subscale/reverse-score key from the Skowron & Friedlander (1998) published Appendix.","IRW table covers only the Differentiation of Self Inventory's Emotional Reactivity and Emotional Cutoff subscales (23 of 43 items), and the dsi_1..dsi_23 to original-item mapping is reconstructed from the published appendix order rather than documented in the source",""
"algner2022_cse","paper_order","translated_substitute","10.3389/fpsyg.2022.809862","All 12 items, instructions and the 5-point scale recovered from the primary English source (Judge, Erez, Bono & Thoresen 2003 CSES). The study administered the German G-CSES (Heilmann & Jonas 2010), whose wording was not locatable. Strong indirect confirmation: Algner's own quoted example item matches almost word-for-word, same item count and scale.","Item text is the English CSES original; the study administered a German translation whose exact wording could not be located",""
"algner2022_mimi16","paper_explicit","study_materials","10.3389/fpsyg.2022.809862","All 16 items recovered verbatim (English) from the paper's own Table 1, matching mi1-mi16 in presented order. Response scale disclosed only at its 1/6 endpoints, so intermediate options 2-5 are unlabeled.","",""
"algner2022_oss","paper_order","canonical_instrument","10.3389/fpsyg.2022.809862","Only 4 of 6 OSS-SF items recoverable with defensible wording: item 2 direct from Algner's paper, items 5-6 from a secondary Chinese validation quoting the English original, item 1 a lower-confidence back-translation from a Brazilian adaptation. Items 3 and 4 left blank -- only vague factor-loading glosses were found, not literal wording, so they were not force-fit.","2 of the 6 items have no item text (no source discloses their literal wording), and the remaining items are sourced from the English original rather than the German version administered -- one via back-translation",""
